customer-id,first-name,last-name,country,state,city,score
C0001,Sara,Moore,France,Île-de-France,Boulogne-Billancourt,32
C0002,Adam,Moore,Canada,Ontario,Toronto,87
C0003,Amira,Martinez,Turkey,Istanbul,Bursa,5
C0004,Amira,Jaziri,Tunisia,Tunis,Ariana,65
C0005,Sara,Garcia,UAE,Dubai,Dubai,92
C0006,Leo,Martin,Turkey,Istanbul,Bursa,76
C0007,Ahmed,Clark,Germany,Bavaria,Munich,90
C0008,Sophia,Bernard,Spain,Madrid,Madrid,28
C0009,Omar,Mansouri,Italy,Lazio,Frosinone,13
C0010,Michael,Wilson,Italy,Lazio,Frosinone,6
C0011,Meriem,Brown,UK,England,London,71
C0012,Emily,Martinez,Germany,Bavaria,Munich,91
C0013,Mohamed,Anderson,France,Île-de-France,Versailles,99
C0014,Amira,Hassan,Germany,Bavaria,Munich,13
C0015,Emma,Miller,Spain,Madrid,Getafe,47
C0016,Emily,Johnson,USA,California,San Diego,86
C0017,Youssef,Wilson,Germany,Bavaria,Augsburg,22
C0018,Ines,Khalil,Turkey,Istanbul,Bursa,49
C0019,Karim,Anderson,Germany,Bavaria,Nuremberg,99
C0020,Karim,Walker,Tunisia,Tunis,Tunis,41
C0021,Emma,Mansouri,Spain,Madrid,Madrid,73
C0022,Rania,Taylor,Italy,Lazio,Frosinone,51
C0023,Nour,Bernard,UK,England,Manchester,32
C0024,John,Moore,Turkey,Istanbul,Izmit,55
C0025,Maya,Johnson,UAE,Dubai,Dubai,18
C0026,Nina,Mansouri,Turkey,Istanbul,Istanbul,15
C0027,Ali,Lewis,USA,California,San Francisco,77
C0028,Lucas,Brown,France,Île-de-France,Saint-Denis,68
C0029,Ahmed,Anderson,Germany,Bavaria,Augsburg,15
C0030,Emma,Clark,Turkey,Istanbul,Izmit,44
C0031,Daniel,Williams,France,Île-de-France,Versailles,59
C0032,John,Romano,Tunisia,Tunis,Sfax,23
C0033,Omar,Hassan,Turkey,Istanbul,Izmit,39
C0034,Sofia,Gharbi,Turkey,Istanbul,Bursa,98
C0035,Ahmed,Wilson,USA,California,San Jose,63
C0036,Meriem,Johnson,Tunisia,Tunis,Sfax,40
C0037,Lina,Martin,Canada,Ontario,Toronto,11
C0038,Youssef,Clark,UK,England,Manchester,17
C0039,Ali,Bernard,UK,England,Liverpool,28
C0040,Sofia,Thomas,Turkey,Istanbul,Bursa,52
C0041,David,Romano,Italy,Lazio,Frosinone,16
C0042,Karim,Mansouri,Canada,Ontario,Mississauga,3
C0043,Karim,Martinez,UAE,Dubai,Dubai,1
C0044,Lina,Martin,France,Île-de-France,Paris,5
C0045,Youssef,Romano,Italy,Lazio,Rome,36
C0046,Rania,Garcia,UK,England,Manchester,93
C0047,Alex,Martin,UAE,Dubai,Abu Dhabi,53
C0048,Omar,Haddad,Canada,Ontario,Hamilton,46
C0049,Leo,Miller,Spain,Madrid,Getafe,7
C0050,Lina,Brown,France,Île-de-France,Boulogne-Billancourt,14
C0051,Sofia,Jaziri,Canada,Ontario,Hamilton,18
C0052,Sami,Bernard,Spain,Madrid,Alcala de Henares,32
C0053,David,Lewis,France,Île-de-France,Paris,7
C0054,Ahmed,Mansouri,Turkey,Istanbul,Istanbul,22
C0055,Nina,Rossi,Spain,Madrid,Madrid,52
C0056,Ali,Brown,Tunisia,Tunis,Tunis,50
C0057,Laura,Dubois,Germany,Bavaria,Nuremberg,90
C0058,Nina,Gharbi,Turkey,Istanbul,Istanbul,38
C0059,Lina,Martinez,Canada,Ontario,Toronto,96
C0060,Lina,Trabelsi,Italy,Lazio,Latina,62
C0061,Ali,Trabelsi,Turkey,Istanbul,Izmit,11
C0062,Youssef,Wilson,USA,California,Los Angeles,87
C0063,Maya,Haddad,Canada,Ontario,Ottawa,75
C0064,Mohamed,Wilson,UAE,Dubai,Dubai,54
C0065,James,Bernard,UAE,Dubai,Dubai,86
C0066,Ines,Bernard,Italy,Lazio,Frosinone,17
C0067,Laura,Smith,Germany,Bavaria,Munich,2
C0068,Omar,Mansouri,UK,England,Manchester,65
C0069,Adam,Johnson,Germany,Bavaria,Munich,32
C0070,Daniel,Khalil,Italy,Lazio,Frosinone,70
C0071,Ahmed,Anderson,Germany,Bavaria,Augsburg,39
C0072,Adam,Bernard,France,Île-de-France,Paris,14
C0073,Nour,Bernard,Turkey,Istanbul,Bursa,78
C0074,Sophia,Jaziri,Canada,Ontario,Mississauga,65
C0075,John,Hassan,UK,England,London,12
C0076,Emma,Trabelsi,Spain,Madrid,Madrid,43
C0077,John,Khalil,USA,California,San Francisco,71
C0078,Ahmed,Haddad,Spain,Madrid,Madrid,89
C0079,Mohamed,Walker,USA,California,San Jose,75
C0080,Nour,Williams,Turkey,Istanbul,Istanbul,6
C0081,Emily,Lewis,Germany,Bavaria,Munich,46
C0082,Ines,Anderson,Canada,Ontario,Toronto,46
C0083,Leo,Wilson,Turkey,Istanbul,Izmit,20
C0084,Ali,Lewis,Canada,Ontario,Ottawa,53
C0085,Sami,Moore,Tunisia,Tunis,Ben Arous,53
C0086,Emma,Khalil,Canada,Ontario,Toronto,49
C0087,Alex,Martin,Tunisia,Tunis,Ariana,59
C0088,Olivia,Walker,Italy,Lazio,Rome,29
C0089,Sofia,Brown,Tunisia,Tunis,Ben Arous,36
C0090,Emma,Johnson,France,Île-de-France,Saint-Denis,87
